Rider_normalized,proba_podio
Biaggim,0.8188888888888889
Bagnaia,0.6588888888888889
Martin,0.65
Stoner,0.62
Lorenzo,0.6055509601181683
Rossi,0.5604444444444444
Pedrosa,0.5437037037037037
Alesmovistar,0.54
Baylisst,0.5327548005908419
Bastianini,0.44166666666666665
Gibernaus,0.4291322008862629
Dovizioso,0.4240945563890115
Marquez,0.4117755444860169
Haydenrepsol,0.3986960446413918
Reddingocto,0.37666666666666665
Capirossil,0.37222222222222223
Okadarepsol,0.35333333333333333
Kalliored,0.35
Iannoneducati,0.31333333333333335
Spiesyamaha,0.2877548005908419
